"Status","Name","Duration in ms","Description"
"passed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.notAbleToCreatePetAsIDIsMissingError500","2540",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.notAbleToCreatePetAsResourceIsMissingError404","1284",""
"failed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.updatePetWithoutMandatoryFieldsError400","1273",""
"failed","com.au.petstore.testsAPI.PostCreatePetAPI.notAbleToCreatePetAsEmptyObjectError400","1434",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.notAbleToCreatePetAsIDIsMissingError500","4878",""
"failed","com.au.petstore.testsAPI.GetPetByStatus.getPetByInvalidStatus","1404",""
"passed","com.au.petstore.testsAPI.DeletePet.deletePetFromTheStoreWithValidPetID","3659",""
"passed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.updatePetWithDifferentStatusForSamePetID","3092",""
"passed","com.au.petstore.testsAPI.DeletePet.deletePetIDFromTheStoreWithoutMandatoryFieldPetID","2540",""
"failed","com.au.petstore.testsAPI.PostUploadPetImage.updatePetWithMandatoryFields","1380",""
"passed","com.au.petstore.testsAPI.PostUploadPetImage.updatePetWithoutMandatoryFields","2126",""
"passed","com.au.petstore.testsAPI.GetPetByID.getPetByInvalidID","1433",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.createPetWithMandatoryFields","1423",""
"failed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.updatePetWithDeletedPetID","3109",""
"passed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.updatePetWithDifferentStatusForSamePetID","1728",""
"passed","com.au.petstore.testsAPI.PostUploadPetImage.updateExistingPetWithImage","1910",""
"passed","com.au.petstore.testsAPI.GetPetByID.getDeletePetAsNotFound","3010",""
"passed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.updatePetWithDifferentStatusForSamePetID","3058",""
"failed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.notAbleToCreatePetAsEmptyObjectError400","1749",""
"passed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.notAbleToCreatePetWithoutBodyError405","1300",""
"failed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.notAbleToUpdatePetBadRequestError400","1320",""
"passed","com.au.petstore.testsAPI.GetPetByID.getPetByID","1457",""
"passed","com.au.petstore.testsAPI.GetPetByStatus.getPetByStatus","2862",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.postAPIToCreatePetWithDifferentStatus","1978",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.postAPIToCreatePetWithDifferentStatus","1416",""
"passed","com.au.petstore.testsAPI.GetPetByStatus.getPetByStatus","3907",""
"failed","com.au.petstore.testsAPI.PostCreatePetAPI.createPetWIthSameID","4041",""
"passed","com.au.petstore.testsAPI.PostPetInStoreWithFormData.updateExistingPetWithNameAndStatus","1736",""
"passed","com.au.petstore.testsAPI.PutUpdateAnExistingPet.updatePetWithMandatoryFields","3290",""
"passed","com.au.petstore.testsAPI.DeletePet.deleteNonExistencePetIDFromTheStore","17540",""
"passed","com.au.petstore.testsAPI.PostPetInStoreWithFormData.updateExistingPetWithNameAndStatus","1266",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.postAPIToCreatePetWithDifferentStatus","3049",""
"failed","com.au.petstore.testsAPI.PostUploadPetImage.updatePetWithDeletedPetID","4350",""
"passed","com.au.petstore.testsAPI.GetPetByStatus.getPetByStatus","6164",""
"failed","com.au.petstore.testsAPI.GetPetByStatus.getPetByRemovingStatus","2578",""
"passed","com.au.petstore.testsAPI.PostPetInStoreWithFormData.updateExistingPetWithNameAndStatus","1272",""
"failed","com.au.petstore.testsAPI.PostCreatePetAPI.postAPIToCreatePetWithoutMandatoryFieldsError400","1670",""
"failed","com.au.petstore.testsAPI.PostPetInStoreWithFormData.updatePetWithInvalidFields","1283",""
"passed","com.au.petstore.testsAPI.PostCreatePetAPI.notAbleToCreatePetWithoutBodyError405","1547",""
"failed","com.au.petstore.testsAPI.PostCreatePetAPI.notAbleToCreatePetBadRequestError400","1436",""
